City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Oranjemund,NA,2022-07-28 03:09:12,clear sky,-28.55,16.4333,51.94,82,0,0.65
1,Guiyang,CN,2022-07-28 03:09:12,broken clouds,26.5833,106.7167,79.09,72,82,2.28
2,Arraial Do Cabo,BR,2022-07-28 03:09:13,clear sky,-22.9661,-42.0278,69.64,80,0,23.89
3,Albany,US,2022-07-28 03:06:33,overcast clouds,42.6001,-73.9662,70.59,78,92,2.1
4,Carballo,ES,2022-07-28 03:04:29,overcast clouds,43.213,-8.691,63.91,74,85,1.25
5,Lebu,CL,2022-07-28 03:09:14,few clouds,-37.6167,-73.65,48.76,84,23,5.41
6,Kieta,PG,2022-07-28 03:09:14,clear sky,-6.2167,155.6333,85.84,64,10,8.08
7,Tasiilaq,GL,2022-07-28 03:09:14,overcast clouds,65.6145,-37.6368,41.16,96,90,6.76
8,Luderitz,NA,2022-07-28 03:09:15,clear sky,-26.6481,15.1594,54.07,76,0,1.28
9,Mataura,NZ,2022-07-28 03:09:15,overcast clouds,-46.1927,168.8643,47.48,98,100,3.31
10,Cayenne,GF,2022-07-28 03:09:07,clear sky,4.9333,-52.3333,76.08,1,0,0.0
11,Chapais,CA,2022-07-28 03:09:16,overcast clouds,49.7834,-74.8492,59.81,92,100,3.56
12,Punta Arenas,CL,2022-07-28 03:09:16,few clouds,-53.15,-70.9167,39.31,75,20,26.46
13,Busselton,AU,2022-07-28 03:04:53,scattered clouds,-33.65,115.3333,62.35,68,33,12.97
14,Vaini,TO,2022-07-28 03:09:17,few clouds,-21.2,-175.2,78.96,83,20,10.36
15,Praia Da Vitoria,PT,2022-07-28 03:09:17,broken clouds,38.7333,-27.0667,72.75,87,64,8.66
16,Buritis,BR,2022-07-28 03:09:17,clear sky,-15.6178,-46.4233,63.52,56,0,2.3
17,New Norfolk,AU,2022-07-28 03:09:18,overcast clouds,-42.7826,147.0587,53.1,73,97,3.0
18,Yellowknife,CA,2022-07-28 03:05:18,overcast clouds,62.456,-114.3525,66.56,68,89,11.99
19,Tripoli,LY,2022-07-28 03:05:19,clear sky,32.8752,13.1875,82.74,47,0,6.82
20,Chuy,UY,2022-07-28 03:09:18,light rain,-33.6971,-53.4616,59.25,98,100,6.38
21,Broken Hill,AU,2022-07-28 03:09:19,clear sky,-31.95,141.4333,59.4,34,0,6.08
22,Upernavik,GL,2022-07-28 03:09:19,overcast clouds,72.7868,-56.1549,40.28,84,100,1.92
23,Havre-Saint-Pierre,CA,2022-07-28 03:09:19,broken clouds,50.2334,-63.5986,60.01,79,59,5.53
24,Baruun-Urt,MN,2022-07-28 03:09:20,clear sky,46.6806,113.2792,71.2,38,10,1.59
25,Bengkulu,ID,2022-07-28 03:09:20,broken clouds,-3.8004,102.2655,83.39,67,59,1.36
26,Shu,KZ,2022-07-28 03:09:21,broken clouds,43.5983,73.7614,86.65,24,68,9.93
27,Cidreira,BR,2022-07-28 03:09:21,overcast clouds,-30.1811,-50.2056,60.82,88,100,5.84
28,Varkaus,FI,2022-07-28 03:09:21,broken clouds,62.3153,27.873,59.31,95,69,3.91
29,Rikitea,PF,2022-07-28 03:09:22,overcast clouds,-23.1203,-134.9692,73.99,68,100,16.82
30,Kemi,FI,2022-07-28 03:09:22,scattered clouds,65.8596,24.8228,53.37,71,40,6.91
31,Brandon,US,2022-07-28 03:06:41,broken clouds,27.9378,-82.2859,85.01,91,53,1.01
32,Kodiak,US,2022-07-28 03:09:22,clear sky,57.79,-152.4072,56.71,62,0,8.05
33,Muros,ES,2022-07-28 03:09:23,overcast clouds,42.7762,-9.0603,61.09,82,90,1.97
34,Saint-Philippe,RE,2022-07-28 03:05:04,light rain,-21.3585,55.7679,67.59,84,34,8.7
35,Tartus,SY,2022-07-28 03:09:23,clear sky,34.889,35.8866,78.42,61,0,3.38
36,Keti Bandar,PK,2022-07-28 03:09:24,broken clouds,24.1447,67.4497,83.52,79,80,12.59
37,Ushuaia,AR,2022-07-28 03:09:24,light rain,-54.8,-68.3,40.66,81,75,18.41
38,Bredasdorp,ZA,2022-07-28 03:09:24,clear sky,-34.5322,20.0403,48.07,92,0,5.61
39,Avarua,CK,2022-07-28 03:09:25,scattered clouds,-21.2078,-159.775,77.05,69,37,14.97
40,Georgetown,MY,2022-07-28 03:05:52,few clouds,5.4112,100.3354,87.73,73,20,8.05
