City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Guiyang,CN,79.09,broken clouds,26.5833,106.7167,Guo Tai Hotel Guiyang
14,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
19,Tripoli,LY,82.74,clear sky,32.8752,13.1875,Al Waddan Hotel
25,Bengkulu,ID,83.39,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
35,Tartus,SY,78.42,clear sky,34.889,35.8866,Mahmoud’s Home
36,Keti Bandar,PK,83.52,broken clouds,24.1447,67.4497,Haji laloo memon house
42,Katsuura,JP,83.19,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
47,San Patricio,US,84.83,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
58,Vasai,IN,80.69,overcast clouds,19.47,72.8,Jivdani Kripa
69,Tommot,RU,83.07,clear sky,58.9564,126.2925,Gostinitsa Tommot
85,Sao Filipe,CV,78.17,overcast clouds,14.8961,-24.4956,Hotel Xaguate
86,Naze,JP,81.48,broken clouds,28.3667,129.4833,Shishime Hotel
103,Hithadhoo,MV,82.42,overcast clouds,-0.6,73.0833,Scoop Guest House
113,Butaritari,KI,82.09,clear sky,3.0707,172.7902,Isles Sunset Lodge
116,Faanui,PF,78.75,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
131,Jalu,LY,79.52,clear sky,29.0331,21.5482,صاحبة الفخامة
132,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
134,Summerville,US,82.89,clear sky,33.0185,-80.1757,Hampton Inn Summerville
145,Qalyub,EG,79.59,clear sky,30.1792,31.2056,كمال فهمى محمد فهمى
153,Noumea,NC,78.78,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
171,Male,MV,82.38,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
174,Kitimat,CA,83.91,clear sky,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
187,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
191,Marsh Harbour,BS,82.2,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
197,Kavieng,PG,84.92,light rain,-2.5744,150.7967,Nusa Island Retreat
200,Liberty,US,83.26,clear sky,31.8335,-81.5004,Sasser’s Mobile Home Park
