City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Alfred,ZA,2022-07-28 01:05:37,-33.5906,26.891,62.53,81,88,14.67
1,Hobart,AU,2022-07-28 01:02:10,-42.8794,147.3294,53.06,63,20,8.05
2,Thompson,CA,2022-07-28 01:04:26,55.7435,-97.8558,54.21,92,100,3.4
3,Jamestown,US,2022-07-28 01:02:41,42.097,-79.2353,72.52,71,100,6.91
4,Pasni,PK,2022-07-28 01:05:38,25.2631,63.471,81.59,81,100,1.81
5,New Norfolk,AU,2022-07-28 01:04:36,-42.7826,147.0587,52.72,74,92,1.99
6,Ribeira Grande,PT,2022-07-28 01:05:38,38.5167,-28.7,73.0,86,36,11.07
7,Dikson,RU,2022-07-28 01:05:39,73.5069,80.5464,40.86,94,97,12.44
8,Gat,IL,2022-07-28 01:05:39,31.61,34.7642,77.4,68,0,2.98
9,Kodiak,US,2022-07-28 01:05:39,57.79,-152.4072,63.91,48,0,12.66
10,Cape Town,ZA,2022-07-28 01:05:07,-33.9258,18.4232,60.39,75,0,3.76
11,Sola,VU,2022-07-28 01:05:40,-13.8833,167.55,79.97,78,100,11.36
12,Charters Towers,AU,2022-07-28 01:05:40,-20.1,146.2667,65.53,30,0,10.94
13,Hithadhoo,MV,2022-07-28 01:02:10,-0.6,73.0833,82.35,73,100,12.21
14,Ushuaia,AR,2022-07-28 01:05:41,-54.8,-68.3,40.66,87,75,20.71
15,Pangody,RU,2022-07-28 01:05:41,65.85,74.4859,55.36,69,3,10.54
16,Zhigansk,RU,2022-07-28 01:05:41,66.7697,123.3711,76.57,50,5,3.22
17,Port Elizabeth,ZA,2022-07-28 01:05:42,-33.918,25.5701,52.11,82,32,9.44
18,Pisco,PE,2022-07-28 01:05:42,-13.7,-76.2167,62.65,82,20,2.3
19,Pleshanovo,RU,2022-07-28 01:05:43,52.8333,53.4833,63.12,90,8,5.61
20,Yellowknife,CA,2022-07-28 01:05:05,62.456,-114.3525,66.56,72,96,11.99
21,Khatanga,RU,2022-07-28 01:05:43,71.9667,102.5,68.72,50,76,1.68
22,Vaini,TO,2022-07-28 01:05:44,-21.2,-175.2,80.76,83,20,9.22
23,Qaanaaq,GL,2022-07-28 01:05:44,77.484,-69.3632,38.41,88,48,4.23
24,Homer,US,2022-07-28 01:03:01,59.6425,-151.5483,65.77,73,12,13.0
25,Punta Arenas,CL,2022-07-28 01:05:45,-53.15,-70.9167,41.11,70,20,32.21
26,Conceicao Da Barra,BR,2022-07-28 01:01:19,-18.5933,-39.7322,68.76,83,21,2.75
27,Ambilobe,MG,2022-07-28 01:05:45,-13.2,49.05,63.57,91,6,2.37
28,Tuktoyaktuk,CA,2022-07-28 01:05:46,69.4541,-133.0374,42.98,87,100,18.03
29,Amuntai,ID,2022-07-28 01:05:28,-2.4177,115.2494,79.56,83,100,0.92
30,Husavik,IS,2022-07-28 01:05:46,66.0449,-17.3389,55.54,82,99,11.25
31,Coquimbo,CL,2022-07-28 01:02:03,-29.9533,-71.3436,55.62,86,100,5.88
32,Acapulco,MX,2022-07-28 01:02:00,16.8634,-99.8901,79.54,84,100,2.39
33,Faanui,PF,2022-07-28 01:05:47,-16.4833,-151.75,79.16,74,14,26.64
34,Andenes,NO,2022-07-28 01:03:12,69.3143,16.1194,48.18,93,100,19.57
35,Cambridge,CA,2022-07-28 01:01:47,43.3601,-80.3127,74.01,85,96,5.99
36,Mataura,NZ,2022-07-28 01:05:47,-46.1927,168.8643,47.48,99,100,3.02
37,Bluff,NZ,2022-07-28 01:05:48,-46.6,168.3333,47.8,87,100,12.75
38,Kaohsiung,TW,2022-07-28 01:05:48,22.6163,120.3133,89.55,70,40,4.61
39,Longyearbyen,SJ,2022-07-28 01:05:48,78.2186,15.6401,42.64,81,75,23.02
40,Yeniseysk,RU,2022-07-28 01:05:49,58.4497,92.1703,60.48,84,100,2.13
41,Bulungu,CD,2022-07-28 01:05:49,-4.55,18.6,73.17,54,82,0.67
42,Ust-Tsilma,RU,2022-07-28 01:05:50,65.441,52.1498,58.44,64,97,5.21
43,Zhicheng,CN,2022-07-28 01:06:50,30.2956,111.5047,79.79,83,88,4.47
44,Severo-Kurilsk,RU,2022-07-28 01:02:35,50.6789,156.125,55.31,86,95,6.8
45,Belaya Gora,RU,2022-07-28 01:06:50,68.5333,146.4167,61.34,35,95,13.13
46,Upernavik,GL,2022-07-28 01:06:51,72.7868,-56.1549,40.28,85,100,1.25
47,Busselton,AU,2022-07-28 01:06:51,-33.65,115.3333,58.19,70,61,10.87
48,Saint Albans,GB,2022-07-28 01:06:52,51.75,-0.3333,61.84,77,100,8.05
49,Victoria,HK,2022-07-28 01:04:08,22.2855,114.1577,91.26,79,0,4.0
50,Atuona,PF,2022-07-28 01:06:52,-9.8,-139.0333,76.28,77,18,22.37
51,College,US,2022-07-28 01:06:14,64.8569,-147.8028,61.07,62,75,13.8
52,Puerto Leguizamo,CO,2022-07-28 01:05:24,-0.1934,-74.7819,69.89,98,100,2.84
53,Sao Felix Do Xingu,BR,2022-07-28 01:06:53,-6.6447,-51.995,72.64,53,40,0.98
54,Talnakh,RU,2022-07-28 01:06:54,69.4865,88.3972,54.21,60,78,9.13
55,Ambon,ID,2022-07-28 01:06:54,-3.6954,128.1814,80.74,83,75,8.05
56,Namatanai,PG,2022-07-28 01:06:55,-3.6667,152.4333,84.25,68,96,11.5
57,Zlobin,HR,2022-07-28 01:06:55,45.2924,14.6541,67.78,68,0,10.04
58,Arraial Do Cabo,BR,2022-07-28 01:06:55,-22.9661,-42.0278,70.36,81,0,23.2
59,Airai,TL,2022-07-28 01:01:56,-8.9266,125.4092,65.01,53,21,5.21
60,Klaksvik,FO,2022-07-28 01:06:56,62.2266,-6.589,52.72,93,70,13.56
61,Arkhangelsk,RU,2022-07-28 01:06:56,64.5401,40.5433,64.51,100,20,4.47
62,Cancun,MX,2022-07-28 01:03:35,21.1743,-86.8466,82.06,78,7,8.75
63,Zhezkazgan,KZ,2022-07-28 01:02:23,47.8043,67.7144,71.38,55,0,7.29
64,Castro,BR,2022-07-28 01:06:45,-24.7911,-50.0119,57.4,80,97,3.0
65,Te Anau,NZ,2022-07-28 01:06:57,-45.4167,167.7167,41.7,98,100,2.08
66,Saskylakh,RU,2022-07-28 01:06:57,71.9167,114.0833,68.67,63,94,11.5
67,Hof,DE,2022-07-28 01:06:58,50.3167,11.9167,53.46,74,86,4.0
68,Torbay,CA,2022-07-28 01:05:32,47.6666,-52.7314,64.76,84,0,4.0
69,Marzuq,YE,2022-07-28 01:06:58,14.4,46.4667,81.55,46,100,9.75
70,Kapaa,US,2022-07-28 01:04:26,22.0752,-159.319,85.98,66,40,16.11
71,Barrow,US,2022-07-28 01:06:59,71.2906,-156.7887,33.82,100,100,18.41
72,Huanan,CN,2022-07-28 01:06:59,46.2167,130.5167,80.85,73,100,9.98
73,Saint-Leu,RE,2022-07-28 01:07:00,-21.15,55.2833,67.32,74,25,5.03
74,Conakry,GN,2022-07-28 01:05:08,9.538,-13.6773,76.87,85,98,1.5
75,Bulgan,MN,2022-07-28 01:07:00,48.8125,103.5347,54.05,86,100,2.1
76,Albany,US,2022-07-28 01:02:07,42.6001,-73.9662,73.81,69,100,1.61
